Dim	Avg Iterations	Standard Desviation
1000	788	315.17
2000	1568	636.537
3000	2360	950.926
4000	3153	1284.77
5000	3978	1575.05
6000	4837	1852.08
7000	5514	2219.65
8000	6278	2590.27
9000	7134	2848.32
10000	7865	3207.58
11000	8823	3454.07
12000	9451	3825.81
13000	10065	4287.76
14000	11123	4398.91
15000	12193	4647.65
16000	12669	5006.27
17000	13169	5514.73
18000	14279	5731.08
19000	15006	6079.7
20000	15985	6283.52
21000	16543	6649.34
22000	17268	7093.48
23000	18088	7375.38
24000	18670	7795.14
25000	19508	8024.33
26000	20829	8118.94
27000	20901	8937.48
28000	21827	8895.01
29000	22852	9298.97
30000	23706	9620.8
31000	24124	10151.7
32000	25636	10111.8
33000	26096	10475.6
34000	27232	10604.9
35000	28159	10831.4
36000	28280	11572.1
37000	29078	11998.5
38000	29987	12091.3
39000	29949	12853.2
40000	31248	13106.8
41000	32017	13418.6
42000	32711	13628.9
43000	34800	13255.8
44000	34314	14248.7
45000	35395	14547.6
46000	35971	14950
47000	37458	14882.8
48000	37516	15421.8
49000	38106	16042.2
50000	39000	16229.5
