Dim	Avg Iterations	Standard Desviation
1000	499	294.765
2000	988	592.662
3000	1494	850.842
4000	1547	894.826
5000	2443	1431.75
6000	3080	1765.13
7000	3522	2004.87
8000	4162	2305.2
9000	4350	2626.26
10000	1066	596.128
11000	5338	3182.51
12000	6077	3506.39
13000	6296	3785.74
14000	555	285.969
15000	7422	4292.61
16000	4933	2840.42
17000	5440	3152.97
18000	9083	5205.17
19000	6508	3667.02
20000	4541	2541.21
21000	6253	3725.43
22000	8601	4998.36
23000	8250	4563.58
24000	1434	823.779
25000	7867	4531.53
26000	5904	3418.95
27000	4622	2642.06
28000	1210	700.373
29000	7700	4345.71
30000	3433	1989.67
31000	6010	3654.17
32000	3263	1855.27
33000	6973	4101.51
34000	5522	3326.72
35000	4564	2727.18
36000	7568	4298.06
37000	3526	1983.91
38000	7700	4470.82
39000	7137	4083.49
40000	8387	4599.24
41000	10813	6041.14
42000	1828	1061.72
43000	7228	4180.11
44000	6734	3770.23
45000	1024	582.937
46000	1034	612.225
47000	2763	1591.24
48000	7575	4393.31
49000	6198	3720.19
50000	2360	1388.73
